attention_1,attention_2,attention_3,attention_4,attention_5,attention_6,attention_7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,israel_sentiment_1,israel_sentiment_2,israel_sentiment_3,israel_sentiment_4,israel_sentiment_5,israel_sentiment_6,letter,antisemitism_1,antisemitism_2,antisemitism_3,antisemitism_4,antisemitism_5,report_eval,man_a,man_b,man_c,man_d,apartheid,antisemitism_opened,sex,sex_3_TEXT,state,race,race_6_TEXT,ethnicity,age_1,education,religion,religion_11_TEXT,partisanship,age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition 
Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,44.732,44.732,45.502,1,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Very antisemitic,Yes,Yes,Yes,Yes,That's like saying every man for himself ,It's racism against Jews. ,Female,,California,Black or African American,,Hispanic or Latino or Spanish origin,36,Some college but no degree,Protestant,,Strong Democrat,36,2,1,2,2,4,1,4,4
Agree strongly,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,4,2,1,6,5,4,
Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,0,0,6.269,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very antisemitic,No,Yes,Yes,No,"i dont know and no metters what will happens, it will happen cuz is sonting profetic n when this happen so people will start belive.","i dont know
",Female,,California,Other,latin,Hispanic or Latino or Spanish origin,38,Master's degree,Other,christian,Independent,38,2,4,15,7,4,4,4,4
Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,1.225,4.837,7.702,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very antisemitic,No,No,No,No,I don't know ,I don't know ,Male,,Arizona,Black or African American,,Not Hispanic or Latino or Spanish origin,24,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,Strong Democrat,24,1,7,2,1,2,1,4,5
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,18.073,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Yes,No,Yes,Yes,Segregation of race,Prejudice against jewish people,Female,,California,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,35,Associate degree in college (2-year),Roman Catholic,,Democrat,35,2,12,6,1,5,7,4,1
Somewhat Agree,Agree strongly,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,1,9,1,4,2,4,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,0,0,24.275,0,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,segregation and racism towards another race,policies against Jewish people,Female,,California,Black or African American,,Hispanic or Latino or Spanish origin,59,Master's degree,Roman Catholic,,"Independent, but Lean Republican",59,2,22,2,5,7,5,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,-3105,15,2,1,7,4,
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,1,2,1,-3105,7,4,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,1.824,354.539,369.893,10,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No letter,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,No,"I don’t like racial segregation. While I understand Israel, & Palestine, have had a tumultuous past, it is not appropriate for Palestinians, to be mistreated in any way. Due to both countries, shared history,",Jewish racism.,Male,,California,White,,Not Hispanic or Latino or Spanish origin,30,Some college but no degree,Mormon,,Independent,30,1,1,1,1,6,4,4,6
Somewhat Agree,Agree strongly,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,0.79,29.607,30.565,2,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,No,"Historically, Nonwhites were segregated and discriminated against on political, social, and economic grounds ","Generally, antisemitism is an attitude toward Jews that is characterized by hatred. Jews, non-Jews, Jewish communities institutions, and religious facilities are the targets of antisemitic rhetoric and acts ",Male,,California,Black or African American,,Not Hispanic or Latino or Spanish origin,20,Some college but no degree,Nothing in particular,,Democrat,20,1,1,2,1,4,2,4,6
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Somewhat Agree,Agree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,1,1,2,3,2,4,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,2.26,2.26,6.404,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Very antisemitic,Yes,Yes,Yes,Yes,oh gosh gosh dang it is the best thing to say w,yeah we can just wiwuiyy get on my nerves but i just woke ,Male,,California,Black or African American,,Hispanic or Latino or Spanish origin,22,Master's degree,Hindu,,Strong Democrat,24,1,14,2,1,5,1,4,2
Disagree strongly,Agree strongly,Agree strongly,Somewhat Agree,Disagree strongly,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,10,2,1,4,3,4,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,2.114,4.463,6.068,2,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,No,Yes,Yes,No,A policy of discrimination against race.,Hostility to Jewish people,Male,,California,White,,Not Hispanic or Latino or Spanish origin,19,Associate degree in college (2-year),Nothing in particular,,Independent,19,1,1,2,1,5,7,4,3
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,0.748,7.38,7.424,4,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,No letter,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Not very antisemitic,No,No,No,No,I’m not sure ,I don’t know,Male,,California,Black or African American,,Not Hispanic or Latino or Spanish origin,19,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Independent,19,1,1,2,1,2,7,4,7
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,1,2,1,1,6,4,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,1.416,3.37,5.722,2,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very antisemitic,Yes,Yes,Yes,No,System of racism ,Being wrong to jews,Male,,Georgia,Black or African American,,Not Hispanic or Latino or Spanish origin,21,Some college but no degree,Other,,Independent,21,1,1,2,1,4,4,4,4
Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,3.345,3.345,12.826,1,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No letter,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very antisemitic,Yes,Yes,Yes,Yes,I don’t really know what it means honestly but sounds cool,Antisemitism is something that I really don’t understand yet ,Male,,California,Black or African American,,Not Hispanic or Latino or Spanish origin,23,High school graduate (high school diploma or equivalent including GED),Other,Chrustian,Strong Republican,23,1,5,2,1,2,8,4,4
Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,13.601,76.822,78.001,3,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No letter,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,No,Apartheid is in simple terms bullies beating up people that can't defend themselves ,Form of racism towards Jewish people ,Male,,Louisiana,Black or African American,,Not Hispanic or Latino or Spanish origin,37,Some college but no degree,Nothing in particular,,Democrat,37,1,3,2,1,4,7,4,6
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,8.362,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,,No,No,No,No,When a country separates people within its own boundaries based on race or beliefs,Being hateful or discriminatory towards Jewish people,Female,,Georgia,White,,Hispanic or Latino or Spanish origin,38,Some college but no degree,Atheist/agnostic,,Democrat,38,2,9,15,14,4,2,4,1
Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,3,15,2,2,1,4,
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,6.699,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,No,No,its segrigation  defined by grounds or actions   rather than race,hostility  towards  jewish people ,Female,,Alabama,White,,Hispanic or Latino or Spanish origin,46,High school graduate (high school diploma or equivalent including GED),Other,,Independent,46,2,6,15,2,4,5,4,5
Disagree strongly,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,4.051,5.251,10.873,2,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,No,No,No,No,A system designed to institute segregation and discrimination based on race. ,Hostility or hatred toward Jewish people. ,Male,,Ohio,Black or African American,,Hispanic or Latino or Spanish origin,30,Bachelor's degree in college (4-year),Nothing in particular,,"Independent, but Lean Republican",30,1,8,2,14,4,5,2,1
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,14,15,14,4,3,4,
Somewhat Agree,Somewhat Agree,Agree strongly,Somewhat Agree,Agree strongly,Somewhat Agree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,10,5,1,6,5,4,
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,78.2,0,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,I'd like to write a letter in support of Israel,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,Yes,"Apartheid is simply wrongful treatment of certain groups (i.e., racial, age). For example, in South Africa, there was racial apartheid for decades.","Antisemitism is simply speaking something opposing the Jews and Israelis. For example, supporting the Palestinians against the Israelis is antisemitism.",Male,,Illinois,Black or African American,,Not Hispanic or Latino or Spanish origin,43,High school graduate (high school diploma or equivalent including GED),Protestant,,Independent,42,1,2,2,1,2,5,2,7
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,429.517,0,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,No,Yes,No,considered some type of racism based on race,being against jews,Female,,Texas,White,,Hispanic or Latino or Spanish origin,47,Bachelor's degree in college (4-year),Roman Catholic,,"Independent, but Lean Democrat",47,2,11,15,2,6,7,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,1,16,2,2,7,4,
Neither agree nor disagree,Agree strongly,Somewhat Disagree,Disagree strongly,Agree strongly,Somewhat Disagree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,2,1,12,3,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,2,1,12,3,1,4,
Disagree strongly,Somewhat Disagree,Agree strongly,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,2,1,12,3,1,4,
Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,1,2,1,2,3,3,
Disagree strongly,Disagree strongly,Somewhat Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2,1,1,1,2,7,3,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Agree strongly,1.043,1.043,6.23,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat antisemitic,No,Yes,Yes,No,Not sure,Being hateful,Male,,Maryland,White,,Not Hispanic or Latino or Spanish origin,33,Some college but no degree,Protestant,,Republican,33,1,6,1,1,6,10,3,5
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,9,2,15,2,5,2,
Neither agree nor disagree,Disagree strongly,Somewhat Disagree,Disagree strongly,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,1,1,1,2,10,1,
Agree strongly,Agree strongly,Disagree strongly,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,20,1,1,1,1,4,
Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree strongly,Neither agree nor disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,1,2,1,2,1,2,
Somewhat Agree,Somewhat Agree,Disagree strongly,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,22,1,1,7,1,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1,19,1,1,6,1,4,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,6.822,6.822,16.703,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all antisemitic,Yes,Yes,No,No,Subjugation of citizens ,Hating Jewish people for dubious reasons,Male,,California,White,,Not Hispanic or Latino or Spanish origin,51,Associate degree in college (2-year),Nothing in particular,,Strong Democrat,51,1,4,1,1,5,1,4,5
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,1,2,1,1,1,2,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1,20,1,1,7,1,3,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Somewhat Disagree,Disagree strongly,Agree strongly,1.235,8.387,9.895,3,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,I'd like to write a letter in support of Israel,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Not at all antisemitic,Yes,No,Yes,No,A task ,To your self ,Male,,Tennessee,White,,Not Hispanic or Latino or Spanish origin,24,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,"Independent, but Lean Democrat",34,2,2,2,1,1,1,3,7
Agree strongly,Agree strongly,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,1,1,1,2,4,2,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,1,1,6,2,2,1,
Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,1.953,1.953,9.766,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I'd like to write a letter in support of Israel,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,Yes,Yes,Yes,Yes,No idea,Hatred against jews,Male,,New York,White,,Not Hispanic or Latino or Spanish origin,56,Associate degree in college (2-year),Jewish,,Republican,56,1,4,1,1,2,9,1,5
Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,5.333,5.333,8.001,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very antisemitic,No,No,Yes,No,It’s a very hard to put into words. It’s very complicated. Sorry,Once again it’s very hard to put into words. ,Female,,South Carolina,White,,Not Hispanic or Latino or Spanish origin,56,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Independent,56,2,9,1,1,2,4,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,12,1,1,4,10,1,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,28.844,0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Not very antisemitic,Yes,No,No,No,Truthfully…I have no clue.,I don’t know ,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,27,High school graduate (high school diploma or equivalent including GED),Other,Christian ,Independent,27,2,3,1,1,2,4,3,2
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2,12,1,1,2,1,1,
Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,2,1,1,5,2,3,
Somewhat Agree,Somewhat Agree,Agree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1,8,2,1,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,2,1,1,4,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1,9,1,1,3,10,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,1,4,1,1,2,2,2,
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,2.001,11.8,12.499,3,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No letter,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat antisemitic,No,No,No,No,I have no clue what that is honestly,I have never heard of this ,Female,,Oklahoma,White,,Not Hispanic or Latino or Spanish origin,36,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Independent,36,2,1,1,1,2,7,3,5
Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,0,0,39.669,0,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,No,Yes,No,separation of rces and cultures,any action that is disrespectful to Jewish people,Male,,Massachusetts,White,,Not Hispanic or Latino or Spanish origin,39,Bachelor's degree in college (4-year),Roman Catholic,,Strong Democrat,39,1,13,1,1,7,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,5,1,1,6,9,2,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,1.135,1.135,7.051,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,No,No,No,No,I don’t know ,I don’t know ,Female,,Montana,White,,Hispanic or Latino or Spanish origin,26,Less than high school degree,Other,Nothing,Independent,26,2,1,1,12,1,7,4,3
Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0.868,5.126,5.812,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I'd like to write a letter in support of Israel,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very antisemitic,Yes,Yes,Yes,No,They are great ,Nothing ,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,31,High school graduate (high school diploma or equivalent including GED),Protestant,,Strong Republican,31,2,13,1,1,2,10,2,3
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,1,1,1,2,9,1,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,7.39,9.163,14.9,3,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,No letter,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Very antisemitic,Yes,Yes,Yes,Yes,Apertheid is ammisist,Arminatic,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,44,High school graduate (high school diploma or equivalent including GED),Buddhist,,Independent,44,2,2,1,1,2,7,3,7
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,1.865,1.865,6.114,1,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,Yes,Discrimination based on race,Hostile towards Jewish people,Male,,Ohio,White,,Not Hispanic or Latino or Spanish origin,46,Bachelor's degree in college (4-year),Roman Catholic,,Republican,47,1,16,1,1,6,8,2,2
Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,0,0,9.925,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,Yes,Yes,No,No,Bad,Bad,Female,,Texas,Black or African American,,Not Hispanic or Latino or Spanish origin,50,Some college but no degree,Muslim,,Independent,50,2,2,2,1,6,4,3,2
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,9.287,12.464,14.337,2,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,No letter,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Aprthied is when people are free to do what they want and not segregated ,I'm not exactly sure ,Female,,New York,White,,Not Hispanic or Latino or Spanish origin,34,Associate degree in college (2-year),Nothing in particular,,Republican,34,2,5,1,1,4,8,1,7
